
Validation Epoch: Epoch loss: 0.0033, Accuracy: 844/844 (100.000%)

Validation Epoch: Epoch loss: 0.5488, Accuracy: 594/844 (70.379%)

Validation Epoch: Epoch loss: 2.5545, Accuracy: 43/844 (5.095%)

Validation Epoch: Epoch loss: 5.8564, Accuracy: 2/844 (0.237%)

Validation Epoch: Epoch loss: 0.3721, Accuracy: 706/844 (83.649%)

Validation Epoch: Epoch loss: 0.0103, Accuracy: 844/844 (100.000%)

Validation Epoch: Epoch loss: 0.0215, Accuracy: 844/844 (100.000%)

Validation Epoch: Epoch loss: 0.3079, Accuracy: 729/844 (86.374%)

Validation Epoch: Epoch loss: 1.6634, Accuracy: 268/844 (31.754%)

Validation Epoch: Epoch loss: 0.0006, Accuracy: 844/844 (100.000%)

Validation Epoch: Epoch loss: 1.3944, Accuracy: 337/844 (39.929%)

Validation Epoch: Epoch loss: 0.3474, Accuracy: 710/844 (84.123%)

Validation Epoch: Epoch loss: 0.0010, Accuracy: 844/844 (100.000%)

Validation Epoch: Epoch loss: 0.1275, Accuracy: 813/844 (96.327%)

Validation Epoch: Epoch loss: 0.0952, Accuracy: 827/844 (97.986%)

Validation Epoch: Epoch loss: 4.6986, Accuracy: 13/844 (1.540%)

Validation Epoch: Epoch loss: 1.4574, Accuracy: 271/844 (32.109%)

Validation Epoch: Epoch loss: 0.8273, Accuracy: 474/844 (56.161%)

Validation Epoch: Epoch loss: 1.4417, Accuracy: 261/844 (30.924%)

Validation Epoch: Epoch loss: 1.5292, Accuracy: 247/844 (29.265%)

Validation Epoch: Epoch loss: 0.0298, Accuracy: 841/844 (99.645%)

Validation Epoch: Epoch loss: 1.5196, Accuracy: 285/844 (33.768%)

Validation Epoch: Epoch loss: 0.0064, Accuracy: 844/844 (100.000%)

Validation Epoch: Epoch loss: 0.1475, Accuracy: 807/844 (95.616%)

Validation Epoch: Epoch loss: 0.2982, Accuracy: 730/844 (86.493%)

Validation Epoch: Epoch loss: 0.0382, Accuracy: 840/844 (99.526%)

Validation Epoch: Epoch loss: 0.0132, Accuracy: 842/844 (99.763%)

Validation Epoch: Epoch loss: 0.0026, Accuracy: 844/844 (100.000%)

Validation Epoch: Epoch loss: 0.2830, Accuracy: 749/844 (88.744%)

Validation Epoch: Epoch loss: 0.2120, Accuracy: 770/844 (91.232%)

Validation Epoch: Epoch loss: 0.6092, Accuracy: 582/844 (68.957%)

Validation Epoch: Epoch loss: 0.4155, Accuracy: 670/844 (79.384%)

Validation Epoch: Epoch loss: 0.0932, Accuracy: 821/844 (97.275%)

Validation Epoch: Epoch loss: 2.1255, Accuracy: 174/844 (20.616%)

Validation Epoch: Epoch loss: 0.1617, Accuracy: 803/844 (95.142%)

Validation Epoch: Epoch loss: 2.1064, Accuracy: 162/844 (19.194%)

Validation Epoch: Epoch loss: 3.0472, Accuracy: 115/844 (13.626%)

Validation Epoch: Epoch loss: 1.3579, Accuracy: 301/844 (35.664%)

Validation Epoch: Epoch loss: 0.0557, Accuracy: 840/844 (99.526%)

Validation Epoch: Epoch loss: 2.7766, Accuracy: 98/844 (11.611%)

Validation Epoch: Epoch loss: 1.8546, Accuracy: 213/844 (25.237%)

Validation Epoch: Epoch loss: 0.4238, Accuracy: 676/844 (80.095%)

Validation Epoch: Epoch loss: 3.6637, Accuracy: 43/844 (5.095%)

Validation Epoch: Epoch loss: 0.0041, Accuracy: 844/844 (100.000%)

Validation Epoch: Epoch loss: 1.6437, Accuracy: 296/844 (35.071%)

Validation Epoch: Epoch loss: 0.5929, Accuracy: 589/844 (69.787%)

Validation Epoch: Epoch loss: 0.0017, Accuracy: 844/844 (100.000%)

Validation Epoch: Epoch loss: 1.4135, Accuracy: 327/844 (38.744%)

Validation Epoch: Epoch loss: 0.0012, Accuracy: 844/844 (100.000%)

Validation Epoch: Epoch loss: 0.0180, Accuracy: 841/844 (99.645%)

Validation Epoch: Epoch loss: 0.3012, Accuracy: 734/844 (86.967%)

Validation Epoch: Epoch loss: 1.8968, Accuracy: 266/844 (31.517%)

Validation Epoch: Epoch loss: 0.0781, Accuracy: 825/844 (97.749%)

Validation Epoch: Epoch loss: 0.3124, Accuracy: 727/844 (86.137%)

Validation Epoch: Epoch loss: 2.3724, Accuracy: 208/844 (24.645%)

Validation Epoch: Epoch loss: 0.0358, Accuracy: 839/844 (99.408%)

Validation Epoch: Epoch loss: 0.2207, Accuracy: 770/844 (91.232%)

Validation Epoch: Epoch loss: 0.7735, Accuracy: 516/844 (61.137%)

Validation Epoch: Epoch loss: 0.2098, Accuracy: 770/844 (91.232%)

Validation Epoch: Epoch loss: 0.0068, Accuracy: 843/844 (99.882%)

Validation Epoch: Epoch loss: 0.0225, Accuracy: 842/844 (99.763%)

Validation Epoch: Epoch loss: 0.0155, Accuracy: 842/844 (99.763%)

Validation Epoch: Epoch loss: 1.1475, Accuracy: 401/844 (47.512%)

Validation Epoch: Epoch loss: 0.1364, Accuracy: 805/844 (95.379%)

Validation Epoch: Epoch loss: 0.0018, Accuracy: 844/844 (100.000%)

Validation Epoch: Epoch loss: 0.0877, Accuracy: 820/844 (97.156%)

Validation Epoch: Epoch loss: 0.0004, Accuracy: 844/844 (100.000%)

Validation Epoch: Epoch loss: 0.0054, Accuracy: 843/844 (99.882%)

Validation Epoch: Epoch loss: 0.0091, Accuracy: 844/844 (100.000%)

Validation Epoch: Epoch loss: 0.1656, Accuracy: 794/844 (94.076%)

Validation Epoch: Epoch loss: 1.8411, Accuracy: 185/844 (21.919%)

Validation Epoch: Epoch loss: 0.0003, Accuracy: 844/844 (100.000%)

Validation Epoch: Epoch loss: 0.2353, Accuracy: 758/844 (89.810%)

Validation Epoch: Epoch loss: 0.6788, Accuracy: 591/844 (70.024%)

Validation Epoch: Epoch loss: 0.0470, Accuracy: 827/844 (97.986%)

Validation Epoch: Epoch loss: 0.2977, Accuracy: 735/844 (87.085%)

Validation Epoch: Epoch loss: 0.0707, Accuracy: 827/844 (97.986%)

Validation Epoch: Epoch loss: 0.0012, Accuracy: 844/844 (100.000%)

Validation Epoch: Epoch loss: 0.0955, Accuracy: 818/844 (96.919%)

Validation Epoch: Epoch loss: 0.4341, Accuracy: 674/844 (79.858%)

Validation Epoch: Epoch loss: 1.9504, Accuracy: 212/844 (25.118%)

Validation Epoch: Epoch loss: 0.0615, Accuracy: 829/844 (98.223%)

Validation Epoch: Epoch loss: 0.0024, Accuracy: 844/844 (100.000%)

Validation Epoch: Epoch loss: 0.2675, Accuracy: 747/844 (88.507%)

Validation Epoch: Epoch loss: 0.3151, Accuracy: 724/844 (85.782%)

Validation Epoch: Epoch loss: 0.0166, Accuracy: 841/844 (99.645%)

Validation Epoch: Epoch loss: 0.0016, Accuracy: 844/844 (100.000%)

Validation Epoch: Epoch loss: 0.0261, Accuracy: 839/844 (99.408%)

Validation Epoch: Epoch loss: 0.7934, Accuracy: 553/844 (65.521%)

Validation Epoch: Epoch loss: 0.0957, Accuracy: 813/844 (96.327%)

Validation Epoch: Epoch loss: 0.7224, Accuracy: 549/844 (65.047%)

Validation Epoch: Epoch loss: 0.4391, Accuracy: 679/844 (80.450%)

Validation Epoch: Epoch loss: 0.0209, Accuracy: 843/844 (99.882%)

Validation Epoch: Epoch loss: 0.0010, Accuracy: 844/844 (100.000%)

Validation Epoch: Epoch loss: 0.0001, Accuracy: 844/844 (100.000%)

Validation Epoch: Epoch loss: 0.2865, Accuracy: 743/844 (88.033%)

Validation Epoch: Epoch loss: 0.0340, Accuracy: 840/844 (99.526%)

Validation Epoch: Epoch loss: 1.0900, Accuracy: 413/844 (48.934%)

